AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
1 Kings 18:22	Then said Elijah to the people, I, even I only, remain a prophet of the LORD; but Baal’s prophets are four hundred and fifty men.
1 Kings 18:23	Let them therefore give us two bullocks; and let them choose one bullock for themselves, and cut it in pieces, and lay it on wood, and put no fire under: and I will dress the other bullock, and lay it on wood, and put no fire under:
1 Kings 18:24	And call you on the name of your gods, and I will call on the name of the LORD: and the God that answers by fire, let him be God. And all the people answered and said, It is well spoken.
1 Kings 18:25	And Elijah said to the prophets of Baal, Choose you one bullock for yourselves, and dress it first; for you are many; and call on the name of your gods, but put no fire under.
1 Kings 18:26	And they took the bullock which was given them, and they dressed it, and called on the name of Baal from morning even until noon, saying, O Baal, hear us. But there was no voice, nor any that answered. And they leaped on the altar which was made.
1 Kings 18:27	And it came to pass at noon, that Elijah mocked them, and said, Cry aloud: for he is a god; either he is talking, or he is pursuing, or he is in a journey, or peradventure he sleeps, and must be awaked.
1 Kings 18:28	And they cried aloud, and cut themselves after their manner with knives and lancets, till the blood gushed out on them.
1 Kings 18:29	And it came to pass, when midday was past, and they prophesied until the time of the offering of the evening sacrifice, that there was neither voice, nor any to answer, nor any that regarded.
1 Kings 18:30	And Elijah said to all the people, Come near to me. And all the people came near to him. And he repaired the altar of the LORD that was broken down.
1 Kings 18:31	And Elijah took twelve stones, according to the number of the tribes of the sons of Jacob, to whom the word of the LORD came, saying, Israel shall be your name:
1 Kings 18:32	And with the stones he built an altar in the name of the LORD: and he made a trench about the altar, as great as would contain two measures of seed.
1 Kings 18:33	And he put the wood in order, and cut the bullock in pieces, and laid him on the wood, and said, Fill four barrels with water, and pour it on the burnt sacrifice, and on the wood.
1 Kings 18:34	And he said, Do it the second time. And they did it the second time. And he said, Do it the third time. And they did it the third time.
1 Kings 18:35	And the water ran round about the altar; and he filled the trench also with water.
1 Kings 18:36	And it came to pass at the time of the offering of the evening sacrifice, that Elijah the prophet came near, and said, LORD God of Abraham, Isaac, and of Israel, let it be known this day that you are God in Israel, and that I am your servant, and that I have done all these things at your word.
1 Kings 18:37	Hear me, O LORD, hear me, that this people may know that you are the LORD God, and that you have turned their heart back again.
1 Kings 18:38	Then the fire of the LORD fell, and consumed the burnt sacrifice, and the wood, and the stones, and the dust, and licked up the water that was in the trench.
1 Kings 18:39	And when all the people saw it, they fell on their faces: and they said, The LORD, he is the God; the LORD, he is the God.
1 Kings 18:40	And Elijah said to them, Take the prophets of Baal; let not one of them escape. And they took them: and Elijah brought them down to the brook Kishon, and slew them there.
1 Kings 18:41	And Elijah said to Ahab, Get you up, eat and drink; for there is a sound of abundance of rain.
1 Kings 18:42	So Ahab went up to eat and to drink. And Elijah went up to the top of Carmel; and he cast himself down on the earth, and put his face between his knees,
1 Kings 18:43	And said to his servant, Go up now, look toward the sea. And he went up, and looked, and said, There is nothing. And he said, Go again seven times.
1 Kings 18:44	And it came to pass at the seventh time, that he said, Behold, there rises a little cloud out of the sea, like a man’s hand. And he said, Go up, say to Ahab, Prepare your chariot, and get you down that the rain stop you not.
1 Kings 18:45	And it came to pass in the mean while, that the heaven was black with clouds and wind, and there was a great rain. And Ahab rode, and went to Jezreel.
1 Kings 18:46	And the hand of the LORD was on Elijah; and he girded up his loins, and ran before Ahab to the entrance of Jezreel.
1 Kings 19:1	And Ahab told Jezebel all that Elijah had done, and with how he had slain all the prophets with the sword.
1 Kings 19:2	Then Jezebel sent a messenger to Elijah, saying, So let the gods do to me, and more also, if I make not your life as the life of one of them by to morrow about this time.
1 Kings 19:3	And when he saw that, he arose, and went for his life, and came to Beersheba, which belongs to Judah, and left his servant there.
1 Kings 19:4	But he himself went a day’s journey into the wilderness, and came and sat down under a juniper tree: and he requested for himself that he might die; and said, It is enough; now, O LORD, take away my life; for I am not better than my fathers.
1 Kings 19:5	And as he lay and slept under a juniper tree, behold, then an angel touched him, and said to him, Arise and eat.
1 Kings 19:6	And he looked, and, behold, there was a cake baked on the coals, and a cruse of water at his head. And he did eat and drink, and laid him down again.
1 Kings 19:7	And the angel of the LORD came again the second time, and touched him, and said, Arise and eat; because the journey is too great for you.
1 Kings 19:8	And he arose, and did eat and drink, and went in the strength of that meat forty days and forty nights to Horeb the mount of God.
1 Kings 19:9	And he came thither to a cave, and lodged there; and, behold, the word of the LORD came to him, and he said to him, What do you here, Elijah?
1 Kings 19:10	And he said, I have been very jealous for the LORD God of hosts: for the children of Israel have forsaken your covenant, thrown down your altars, and slain your prophets with the sword; and I, even I only, am left; and they seek my life, to take it away.
1 Kings 19:11	And he said, Go forth, and stand on the mount before the LORD. And, behold, the LORD passed by, and a great and strong wind rent the mountains, and broke in pieces the rocks before the LORD; but the LORD was not in the wind: and after the wind an earthquake; but the LORD was not in the earthquake:
1 Kings 19:12	And after the earthquake a fire; but the LORD was not in the fire: and after the fire a still small voice.
1 Kings 19:13	And it was so, when Elijah heard it, that he wrapped his face in his mantle, and went out, and stood in the entering in of the cave. And, behold, there came a voice to him, and said, What do you here, Elijah?
1 Kings 19:14	And he said, I have been very jealous for the LORD God of hosts: because the children of Israel have forsaken your covenant, thrown down your altars, and slain your prophets with the sword; and I, even I only, am left; and they seek my life, to take it away.
1 Kings 19:15	And the LORD said to him, Go, return on your way to the wilderness of Damascus: and when you come, anoint Hazael to be king over Syria:
1 Kings 19:16	And Jehu the son of Nimshi shall you anoint to be king over Israel: and Elisha the son of Shaphat of Abelmeholah shall you anoint to be prophet in your room.
1 Kings 19:17	And it shall come to pass, that him that escapes the sword of Hazael shall Jehu slay: and him that escapes from the sword of Jehu shall Elisha slay.
1 Kings 19:18	Yet I have left me seven thousand in Israel, all the knees which have not bowed to Baal, and every mouth which has not kissed him.
1 Kings 19:19	So he departed there, and found Elisha the son of Shaphat, who was plowing with twelve yoke of oxen before him, and he with the twelfth: and Elijah passed by him, and cast his mantle on him.
1 Kings 19:20	And he left the oxen, and ran after Elijah, and said, Let me, I pray you, kiss my father and my mother, and then I will follow you. And he said to him, Go back again: for what have I done to you?
1 Kings 19:21	And he returned back from him, and took a yoke of oxen, and slew them, and boiled their flesh with the instruments of the oxen, and gave to the people, and they did eat. Then he arose, and went after Elijah, and ministered to him.
1 Kings 20:1	And Benhadad the king of Syria gathered all his host together: and there were thirty and two kings with him, and horses, and chariots; and he went up and besieged Samaria, and warred against it.
1 Kings 20:2	And he sent messengers to Ahab king of Israel into the city, and said to him, Thus said Benhadad,
1 Kings 20:3	Your silver and your gold is mine; your wives also and your children, even the best, are mine.
1 Kings 20:4	And the king of Israel answered and said, My lord, O king, according to your saying, I am yours, and all that I have.
1 Kings 20:5	And the messengers came again, and said, Thus speaks Benhadad, saying, Although I have sent to you, saying, You shall deliver me your silver, and your gold, and your wives, and your children;
1 Kings 20:6	Yet I will send my servants to you to morrow about this time, and they shall search your house, and the houses of your servants; and it shall be, that whatever is pleasant in your eyes, they shall put it in their hand, and take it away.
1 Kings 20:7	Then the king of Israel called all the elders of the land, and said, Mark, I pray you, and see how this man seeks mischief: for he sent to me for my wives, and for my children, and for my silver, and for my gold; and I denied him not.
1 Kings 20:8	And all the elders and all the people said to him, Listen not to him, nor consent.
1 Kings 20:9	Why he said to the messengers of Benhadad, Tell my lord the king, All that you did send for to your servant at the first I will do: but this thing I may not do. And the messengers departed, and brought him word again.
1 Kings 20:10	And Benhadad sent to him, and said, The gods do so to me, and more also, if the dust of Samaria shall suffice for handfuls for all the people that follow me.
1 Kings 20:11	And the king of Israel answered and said, Tell him, Let not him that girds on his harness boast himself as he that puts it off.
1 Kings 20:12	And it came to pass, when Ben-hadad heard this message, as he was drinking, he and the kings in the pavilions, that he said to his servants, Set yourselves in array. And they set themselves in array against the city.
1 Kings 20:13	And, behold, there came a prophet to Ahab king of Israel, saying, Thus said the LORD, Have you seen all this great multitude? behold, I will deliver it into your hand this day; and you shall know that I am the LORD.
1 Kings 20:14	And Ahab said, By whom? And he said, Thus said the LORD, Even by the young men of the princes of the provinces. Then he said, Who shall order the battle? And he answered, You.
1 Kings 20:15	Then he numbered the young men of the princes of the provinces, and they were two hundred and thirty two: and after them he numbered all the people, even all the children of Israel, being seven thousand.
1 Kings 20:16	And they went out at noon. But Benhadad was drinking himself drunk in the pavilions, he and the kings, the thirty and two kings that helped him.
1 Kings 20:17	And the young men of the princes of the provinces went out first; and Benhadad sent out, and they told him, saying, There are men come out of Samaria.
1 Kings 20:18	And he said, Whether they be come out for peace, take them alive; or whether they be come out for war, take them alive.
1 Kings 20:19	So these young men of the princes of the provinces came out of the city, and the army which followed them.
1 Kings 20:20	And they slew every one his man: and the Syrians fled; and Israel pursued them: and Benhadad the king of Syria escaped on an horse with the horsemen.
1 Kings 20:21	And the king of Israel went out, and smote the horses and chariots, and slew the Syrians with a great slaughter.
1 Kings 20:22	And the prophet came to the king of Israel, and said to him, Go, strengthen yourself, and mark, and see what you do: for at the return of the year the king of Syria will come up against you.
1 Kings 20:23	And the servants of the king of Syria said to him, Their gods are gods of the hills; therefore they were stronger than we; but let us fight against them in the plain, and surely we shall be stronger than they.
1 Kings 20:24	And do this thing, Take the kings away, every man out of his place, and put captains in their rooms:
1 Kings 20:25	And number you an army, like the army that you have lost, horse for horse, and chariot for chariot: and we will fight against them in the plain, and surely we shall be stronger than they. And he listened to their voice, and did so.
1 Kings 20:26	And it came to pass at the return of the year, that Benhadad numbered the Syrians, and went up to Aphek, to fight against Israel.
1 Kings 20:27	And the children of Israel were numbered, and were all present, and went against them: and the children of Israel pitched before them like two little flocks of kids; but the Syrians filled the country.
1 Kings 20:28	And there came a man of God, and spoke to the king of Israel, and said, Thus said the LORD, Because the Syrians have said, The LORD is God of the hills, but he is not God of the valleys, therefore will I deliver all this great multitude into your hand, and you shall know that I am the LORD.
1 Kings 20:29	And they pitched one over against the other seven days. And so it was, that in the seventh day the battle was joined: and the children of Israel slew of the Syrians an hundred thousand footmen in one day.
1 Kings 20:30	But the rest fled to Aphek, into the city; and there a wall fell on twenty and seven thousand of the men that were left. And Benhadad fled, and came into the city, into an inner chamber.
1 Kings 20:31	And his servants said to him, Behold now, we have heard that the kings of the house of Israel are merciful kings: let us, I pray you, put sackcloth on our loins, and ropes on our heads, and go out to the king of Israel: peradventure he will save your life.
1 Kings 20:32	So they girded sackcloth on their loins, and put ropes on their heads, and came to the king of Israel, and said, Your servant Benhadad said, I pray you, let me live. And he said, Is he yet alive? he is my brother.
1 Kings 20:33	Now the men did diligently observe whether any thing would come from him, and did hastily catch it: and they said, Your brother Benhadad. Then he said, Go you, bring him. Then Benhadad came forth to him; and he caused him to come up into the chariot.
1 Kings 20:34	And Ben-hadad said to him, The cities, which my father took from your father, I will restore; and you shall make streets for you in Damascus, as my father made in Samaria. Then said Ahab, I will send you away with this covenant. So he made a covenant with him, and sent him away.
1 Kings 20:35	And a certain man of the sons of the prophets said to his neighbor in the word of the LORD, Smite me, I pray you. And the man refused to smite him.
1 Kings 20:36	Then said he to him, Because you have not obeyed the voice of the LORD, behold, as soon as you are departed from me, a lion shall slay you. And as soon as he was departed from him, a lion found him, and slew him.
1 Kings 20:37	Then he found another man, and said, Smite me, I pray you. And the man smote him, so that in smiting he wounded him.
1 Kings 20:38	So the prophet departed, and waited for the king by the way, and disguised himself with ashes on his face.
1 Kings 20:39	And as the king passed by, he cried to the king: and he said, Your servant went out into the middle of the battle; and, behold, a man turned aside, and brought a man to me, and said, Keep this man: if by any means he be missing, then shall your life be for his life, or else you shall pay a talent of silver.
1 Kings 20:40	And as your servant was busy here and there, he was gone. And the king of Israel said to him, So shall your judgment be; yourself have decided it.
1 Kings 20:41	And he hurried, and took the ashes away from his face; and the king of Israel discerned him that he was of the prophets.
1 Kings 20:42	And he said to him, Thus said the LORD, Because you have let go out of your hand a man whom I appointed to utter destruction, therefore your life shall go for his life, and your people for his people.
1 Kings 20:43	And the king of Israel went to his house heavy and displeased, and came to Samaria.
1 Kings 21:1	And it came to pass after these things, that Naboth the Jezreelite had a vineyard, which was in Jezreel, hard by the palace of Ahab king of Samaria.
1 Kings 21:2	And Ahab spoke to Naboth, saying, Give me your vineyard, that I may have it for a garden of herbs, because it is near to my house: and I will give you for it a better vineyard than it; or, if it seem good to you, I will give you the worth of it in money.
1 Kings 21:3	And Naboth said to Ahab, The LORD forbid it me, that I should give the inheritance of my fathers to you.
1 Kings 21:4	And Ahab came into his house heavy and displeased because of the word which Naboth the Jezreelite had spoken to him: for he had said, I will not give you the inheritance of my fathers. And he laid him down on his bed, and turned away his face, and would eat no bread.
1 Kings 21:5	But Jezebel his wife came to him, and said to him, Why is your spirit so sad, that you eat no bread?
1 Kings 21:6	And he said to her, Because I spoke to Naboth the Jezreelite, and said to him, Give me your vineyard for money; or else, if it please you, I will give you another vineyard for it: and he answered, I will not give you my vineyard.
1 Kings 21:7	And Jezebel his wife said to him, Do you now govern the kingdom of Israel? arise, and eat bread, and let your heart be merry: I will give you the vineyard of Naboth the Jezreelite.
1 Kings 21:8	So she wrote letters in Ahab’s name, and sealed them with his seal, and sent the letters to the elders and to the nobles that were in his city, dwelling with Naboth.
1 Kings 21:9	And she wrote in the letters, saying, Proclaim a fast, and set Naboth on high among the people:
1 Kings 21:10	And set two men, sons of Belial, before him, to bear witness against him, saying, You did blaspheme God and the king. And then carry him out, and stone him, that he may die.
1 Kings 21:11	And the men of his city, even the elders and the nobles who were the inhabitants in his city, did as Jezebel had sent to them, and as it was written in the letters which she had sent to them.
1 Kings 21:12	They proclaimed a fast, and set Naboth on high among the people.
1 Kings 21:13	And there came in two men, children of Belial, and sat before him: and the men of Belial witnessed against him, even against Naboth, in the presence of the people, saying, Naboth did blaspheme God and the king. Then they carried him forth out of the city, and stoned him with stones, that he died.
1 Kings 21:14	Then they sent to Jezebel, saying, Naboth is stoned, and is dead.
1 Kings 21:15	And it came to pass, when Jezebel heard that Naboth was stoned, and was dead, that Jezebel said to Ahab, Arise, take possession of the vineyard of Naboth the Jezreelite, which he refused to give you for money: for Naboth is not alive, but dead.
1 Kings 21:16	And it came to pass, when Ahab heard that Naboth was dead, that Ahab rose up to go down to the vineyard of Naboth the Jezreelite, to take possession of it.
1 Kings 21:17	And the word of the LORD came to Elijah the Tishbite, saying,
1 Kings 21:18	Arise, go down to meet Ahab king of Israel, which is in Samaria: behold, he is in the vineyard of Naboth, where he is gone down to possess it.
1 Kings 21:19	And you shall speak to him, saying, Thus said the LORD, Have you killed, and also taken possession? And you shall speak to him, saying, Thus said the LORD, In the place where dogs licked the blood of Naboth shall dogs lick your blood, even yours.
1 Kings 21:20	And Ahab said to Elijah, Have you found me, O my enemy? And he answered, I have found you: because you have sold yourself to work evil in the sight of the LORD.
1 Kings 21:21	Behold, I will bring evil on you, and will take away your posterity, and will cut off from Ahab him that urinates against the wall, and him that is shut up and left in Israel,
1 Kings 21:22	And will make your house like the house of Jeroboam the son of Nebat, and like the house of Baasha the son of Ahijah, for the provocation with which you have provoked me to anger, and made Israel to sin.
1 Kings 21:23	And of Jezebel also spoke the LORD, saying, The dogs shall eat Jezebel by the wall of Jezreel.
1 Kings 21:24	Him that dies of Ahab in the city the dogs shall eat; and him that dies in the field shall the fowls of the air eat.
1 Kings 21:25	But there was none like to Ahab, which did sell himself to work wickedness in the sight of the LORD, whom Jezebel his wife stirred up.
1 Kings 21:26	And he did very abominably in following idols, according to all things as did the Amorites, whom the LORD cast out before the children of Israel.
1 Kings 21:27	And it came to pass, when Ahab heard those words, that he rent his clothes, and put sackcloth on his flesh, and fasted, and lay in sackcloth, and went softly.
1 Kings 21:28	And the word of the LORD came to Elijah the Tishbite, saying,
1 Kings 21:29	See you how Ahab humbles himself before me? because he humbles himself before me, I will not bring the evil in his days: but in his son’s days will I bring the evil on his house.
1 Kings 22:1	And they continued three years without war between Syria and Israel.
1 Kings 22:2	And it came to pass in the third year, that Jehoshaphat the king of Judah came down to the king of Israel.
1 Kings 22:3	And the king of Israel said to his servants, Know you that Ramoth in Gilead is ours, and we be still, and take it not out of the hand of the king of Syria?
1 Kings 22:4	And he said to Jehoshaphat, Will you go with me to battle to Ramothgilead? And Jehoshaphat said to the king of Israel, I am as you are, my people as your people, my horses as your horses.
1 Kings 22:5	And Jehoshaphat said to the king of Israel, Inquire, I pray you, at the word of the LORD to day.
1 Kings 22:6	Then the king of Israel gathered the prophets together, about four hundred men, and said to them, Shall I go against Ramothgilead to battle, or shall I forbear? And they said, Go up; for the LORD shall deliver it into the hand of the king.
1 Kings 22:7	And Jehoshaphat said, Is there not here a prophet of the LORD besides, that we might inquire of him?
1 Kings 22:8	And the king of Israel said to Jehoshaphat, There is yet one man, Micaiah the son of Imlah, by whom we may inquire of the LORD: but I hate him; for he does not prophesy good concerning me, but evil. And Jehoshaphat said, Let not the king say so.
1 Kings 22:9	Then the king of Israel called an officer, and said, Hasten here Micaiah the son of Imlah.
1 Kings 22:10	And the king of Israel and Jehoshaphat the king of Judah sat each on his throne, having put on their robes, in a void place in the entrance of the gate of Samaria; and all the prophets prophesied before them.
1 Kings 22:11	And Zedekiah the son of Chenaanah made him horns of iron: and he said, Thus said the LORD, With these shall you push the Syrians, until you have consumed them.
1 Kings 22:12	And all the prophets prophesied so, saying, Go up to Ramothgilead, and prosper: for the LORD shall deliver it into the king’s hand.
1 Kings 22:13	And the messenger that was gone to call Micaiah spoke to him, saying, Behold now, the words of the prophets declare good to the king with one mouth: let your word, I pray you, be like the word of one of them, and speak that which is good.
1 Kings 22:14	And Micaiah said, As the LORD lives, what the LORD said to me, that will I speak.
1 Kings 22:15	So he came to the king. And the king said to him, Micaiah, shall we go against Ramothgilead to battle, or shall we forbear? And he answered him, Go, and prosper: for the LORD shall deliver it into the hand of the king.
1 Kings 22:16	And the king said to him, How many times shall I adjure you that you tell me nothing but that which is true in the name of the LORD?
1 Kings 22:17	And he said, I saw all Israel scattered on the hills, as sheep that have not a shepherd: and the LORD said, These have no master: let them return every man to his house in peace.
1 Kings 22:18	And the king of Israel said to Jehoshaphat, Did I not tell you that he would prophesy no good concerning me, but evil?
1 Kings 22:19	And he said, Hear you therefore the word of the LORD: I saw the LORD sitting on his throne, and all the host of heaven standing by him on his right hand and on his left.
1 Kings 22:20	And the LORD said, Who shall persuade Ahab, that he may go up and fall at Ramothgilead? And one said on this manner, and another said on that manner.
1 Kings 22:21	And there came forth a spirit, and stood before the LORD, and said, I will persuade him.
1 Kings 22:22	And the LORD said to him, With which? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets. And he said, You shall persuade him, and prevail also: go forth, and do so.
1 Kings 22:23	Now therefore, behold, the LORD has put a lying spirit in the mouth of all these your prophets, and the LORD has spoken evil concerning you.
1 Kings 22:24	But Zedekiah the son of Chenaanah went near, and smote Micaiah on the cheek, and said, Which way went the Spirit of the LORD from me to speak to you?
1 Kings 22:25	And Micaiah said, Behold, you shall see in that day, when you shall go into an inner chamber to hide yourself.
1 Kings 22:26	And the king of Israel said, Take Micaiah, and carry him back to Amon the governor of the city, and to Joash the king’s son;
1 Kings 22:27	And say, Thus said the king, Put this fellow in the prison, and feed him with bread of affliction and with water of affliction, until I come in peace.
1 Kings 22:28	And Micaiah said, If you return at all in peace, the LORD has not spoken by me. And he said, Listen, O people, every one of you.
1 Kings 22:29	So the king of Israel and Jehoshaphat the king of Judah went up to Ramothgilead.
1 Kings 22:30	And the king of Israel said to Jehoshaphat, I will disguise myself, and enter into the battle; but put you on your robes. And the king of Israel disguised himself, and went into the battle.
1 Kings 22:31	But the king of Syria commanded his thirty and two captains that had rule over his chariots, saying, Fight neither with small nor great, save only with the king of Israel.
1 Kings 22:32	And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.
1 Kings 22:33	And it came to pass, when the captains of the chariots perceived that it was not the king of Israel, that they turned back from pursuing him.
1 Kings 22:34	And a certain man drew a bow at a venture, and smote the king of Israel between the joints of the harness: why he said to the driver of his chariot, Turn your hand, and carry me out of the host; for I am wounded.
1 Kings 22:35	And the battle increased that day: and the king was stayed up in his chariot against the Syrians, and died at even: and the blood ran out of the wound into the middle of the chariot.
1 Kings 22:36	And there went a proclamation throughout the host about the going down of the sun, saying, Every man to his city, and every man to his own country.
1 Kings 22:37	So the king died, and was brought to Samaria; and they buried the king in Samaria.
1 Kings 22:38	And one washed the chariot in the pool of Samaria; and the dogs licked up his blood; and they washed his armor; according to the word of the LORD which he spoke.
1 Kings 22:39	Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?
1 Kings 22:40	So Ahab slept with his fathers; and Ahaziah his son reigned in his stead.
1 Kings 22:41	And Jehoshaphat the son of Asa began to reign over Judah in the fourth year of Ahab king of Israel.
1 Kings 22:42	Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother’s name was Azubah the daughter of Shilhi.
1 Kings 22:43	And he walked in all the ways of Asa his father; he turned not aside from it, doing that which was right in the eyes of the LORD: nevertheless the high places were not taken away; for the people offered and burnt incense yet in the high places.
1 Kings 22:44	And Jehoshaphat made peace with the king of Israel.
1 Kings 22:45	Now the rest of the acts of Jehoshaphat, and his might that he showed, and how he warred, are they not written in the book of the chronicles of the kings of Judah?
1 Kings 22:46	And the remnant of the sodomites, which remained in the days of his father Asa, he took out of the land.
1 Kings 22:47	There was then no king in Edom: a deputy was king.
1 Kings 22:48	Jehoshaphat made ships of Tharshish to go to Ophir for gold: but they went not; for the ships were broken at Eziongeber.
1 Kings 22:49	Then said Ahaziah the son of Ahab to Jehoshaphat, Let my servants go with your servants in the ships. But Jehoshaphat would not.
1 Kings 22:50	And Jehoshaphat slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoram his son reigned in his stead.
1 Kings 22:51	Ahaziah the son of Ahab began to reign over Israel in Samaria the seventeenth year of Jehoshaphat king of Judah, and reigned two years over Israel.
1 Kings 22:52	And he did evil in the sight of the LORD, and walked in the way of his father, and in the way of his mother, and in the way of Jeroboam the son of Nebat, who made Israel to sin:
1 Kings 22:53	For he served Baal, and worshipped him, and provoked to anger the LORD God of Israel, according to all that his father had done.
2 Kings 1:1	Then Moab rebelled against Israel after the death of Ahab.
2 Kings 1:2	And Ahaziah fell down through a lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said to them, Go, inquire of Baalzebub the god of Ekron whether I shall recover of this disease.
2 Kings 1:3	But the angel of the LORD said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say to them, Is it not because there is not a God in Israel, that you go to inquire of Baalzebub the god of Ekron?
2 Kings 1:4	Now therefore thus said the LORD, You shall not come down from that bed on which you are gone up, but shall surely die. And Elijah departed.
2 Kings 1:5	And when the messengers turned back to him, he said to them, Why are you now turned back?
2 Kings 1:6	And they said to him, There came a man up to meet us, and said to us, Go, turn again to the king that sent you, and say to him, Thus said the LORD, Is it not because there is not a God in Israel, that you send to inquire of Baalzebub the god of Ekron? therefore you shall not come down from that bed on which you are gone up, but shall surely die.
2 Kings 1:7	And he said to them, What manner of man was he which came up to meet you, and told you these words?
2 Kings 1:8	And they answered him, He was an hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.
2 Kings 1:9	Then the king sent to him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spoke to him, You man of God, the king has said, Come down.
2 Kings 1:10	And Elijah answered and said to the captain of fifty, If I be a man of God, then let fire come down from heaven, and consume you and your fifty. And there came down fire from heaven, and consumed him and his fifty.
2 Kings 1:11	Again also he sent to him another captain of fifty with his fifty. And he answered and said to him, O man of God, thus has the king said, Come down quickly.
2 Kings 1:12	And Elijah answered and said to them, If I be a man of God, let fire come down from heaven, and consume you and your fifty. And the fire of God came down from heaven, and consumed him and his fifty.
2 Kings 1:13	And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and sought him, and said to him, O man of God, I pray you, let my life, and the life of these fifty your servants, be precious in your sight.
2 Kings 1:14	Behold, there came fire down from heaven, and burnt up the two captains of the former fifties with their fifties: therefore let my life now be precious in your sight.
2 Kings 1:15	And the angel of the LORD said to Elijah, Go down with him: be not afraid of him. And he arose, and went down with him to the king.
2 Kings 1:16	And he said to him, Thus said the LORD, For as much as you have sent messengers to inquire of Baalzebub the god of Ekron, is it not because there is no God in Israel to inquire of his word? therefore you shall not come down off that bed on which you are gone up, but shall surely die.
2 Kings 1:17	So he died according to the word of the LORD which Elijah had spoken. And Jehoram reigned in his stead in the second year of Jehoram the son of Jehoshaphat king of Judah; because he had no son.
2 Kings 1:18	Now the rest of the acts of Ahaziah which he did, are they not written in the book of the chronicles of the kings of Israel?
2 Kings 2:1	And it came to pass, when the LORD would take up Elijah into heaven by a whirlwind, that Elijah went with Elisha from Gilgal.
2 Kings 2:2	And Elijah said to Elisha, Tarry here, I pray you; for the LORD has sent me to Bethel. And Elisha said to him, As the LORD lives, and as your soul lives, I will not leave you. So they went down to Bethel.
2 Kings 2:3	And the sons of the prophets that were at Bethel came forth to Elisha, and said to him, Know you that the LORD will take away your master from your head to day? And he said, Yes, I know it; hold you your peace.
2 Kings 2:4	And Elijah said to him, Elisha, tarry here, I pray you; for the LORD has sent me to Jericho. And he said, As the LORD lives, and as your soul lives, I will not leave you. So they came to Jericho.
2 Kings 2:5	And the sons of the prophets that were at Jericho came to Elisha, and said to him, Know you that the LORD will take away your master from your head to day? And he answered, Yes, I know it; hold you your peace.
2 Kings 2:6	And Elijah said to him, Tarry, I pray you, here; for the LORD has sent me to Jordan. And he said, As the LORD lives, and as your soul lives, I will not leave you. And they two went on.
2 Kings 2:7	And fifty men of the sons of the prophets went, and stood to view afar off: and they two stood by Jordan.
2 Kings 2:8	And Elijah took his mantle, and wrapped it together, and smote the waters, and they were divided here and thither, so that they two went over on dry ground.
2 Kings 2:9	And it came to pass, when they were gone over, that Elijah said to Elisha, Ask what I shall do for you, before I be taken away from you. And Elisha said, I pray you, let a double portion of your spirit be on me.
2 Kings 2:10	And he said, You have asked a hard thing: nevertheless, if you see me when I am taken from you, it shall be so to you; but if not, it shall not be so.
2 Kings 2:11	And it came to pass, as they still went on, and talked, that, behold, there appeared a chariot of fire, and horses of fire, and parted them both asunder; and Elijah went up by a whirlwind into heaven.
2 Kings 2:12	And Elisha saw it, and he cried, My father, my father, the chariot of Israel, and the horsemen thereof. And he saw him no more: and he took hold of his own clothes, and rent them in two pieces.
2 Kings 2:13	He took up also the mantle of Elijah that fell from him, and went back, and stood by the bank of Jordan;
2 Kings 2:14	And he took the mantle of Elijah that fell from him, and smote the waters, and said, Where is the LORD God of Elijah? and when he also had smitten the waters, they parted here and thither: and Elisha went over.
2 Kings 2:15	And when the sons of the prophets which were to view at Jericho saw him, they said, The spirit of Elijah does rest on Elisha. And they came to meet him, and bowed themselves to the ground before him.
2 Kings 2:16	And they said to him, Behold now, there be with your servants fifty strong men; let them go, we pray you, and seek your master: lest peradventure the Spirit of the LORD has taken him up, and cast him on some mountain, or into some valley. And he said, You shall not send.
2 Kings 2:17	And when they urged him till he was ashamed, he said, Send. They sent therefore fifty men; and they sought three days, but found him not.
2 Kings 2:18	And when they came again to him, (for he tarried at Jericho,) he said to them, Did I not say to you, Go not?
2 Kings 2:19	And the men of the city said to Elisha, Behold, I pray you, the situation of this city is pleasant, as my lord sees: but the water is naught, and the ground barren.
2 Kings 2:20	And he said, Bring me a new cruse, and put salt therein. And they brought it to him.
2 Kings 2:21	And he went forth to the spring of the waters, and cast the salt in there, and said, Thus said the LORD, I have healed these waters; there shall not be from there any more death or barren land.
2 Kings 2:22	So the waters were healed to this day, according to the saying of Elisha which he spoke.
